first_names,affixes,surnames
Nelis,,
Nettie,,
Nico,,
Nicolaas,,
Niek,,
Nienke,,
Nikolaas,,
Noe,,
Norbert,,
Norman,,
Okkie,,
Olaf,,
Olivier,,
Onno,,
Otto,,
Pascal,,
Paul,,
Paula,,
Paulien,,
Paulus,,
Peet,,
Pepijn,,
Peter,,
Petronella,,
Petrus,,
Philip,,
Pier,,
Piet,,
Pieter,,
Pim,,
Puck,,
Quirijn,,
Ralph,,
Rein,,
Reinder,,
Reindert,,
Reinhardt,,
Reinhart,,
Reinier,,
Reinout,,
Rembrandt,,
Remco,,
Rens,,
Reynier,,
Ria,,
Rie,,
Rien,,
Rik,,
Rik,,
Rinus,,
Robbert,,
Robert,,
Roel,,
Roeland,,
Roelant,,
Roelof,,
Rogier,,
Roland,,
Rombout,,
Romeyn,,
Ronald,,
Roos,,
Rudolf,,
Rudolph,,
Rutger,,
Ruud,,
Ruurd,,
Saco,,
Samuel,,
Sander,,
Sanne,,
Saskia,,
Sebastiaan,,
Sem,,
Simon,,
Sjaak,,
Sjoerd,,
Sophie,,
Stef,,
Stefaan,,
Stefan,,
Stijn,,
Stoffel,,
Suzanne,,
Sven,,
Sylvester,,
Taco,,
Teun,,
Teunis,,
Teuntje,,
Teuntje,,
Thaddeus,,
Theo,,
Theodoor,,
Theodor,,
Theodore,,
Theodoros,,
Theresia,,
Theunis,,
Thijmen,,
Thijs,,
Thomas,,
Tielman,,
Tijs,,
Timo,,
Tineke,,
Tinus,,
Tjalling,,
Tjapko,,
Tjeerd,,
Tobias,,
Toine,,
Toine,,
Tom,,
Ton,,
Tonie,,
Tonie,,
Toon,,
Toos,,
Trijn,,
Truus,,
Twan,,
Valentijn,,
Valerie,,
Vicky,,
Vincent,,
Viola,,
Walraven,,
Walter,,
Werner,,
Wiebe,,
Wijnand,,
Wilco,,
Wilhelmina,,
Wilhelmus,,
Willeke,,
Willem,,
Willemijn,,
Willemina,,
Wilma,,
Wim,,
Wisse,,
Wolter,,
Wout,,
Wouter,,
Yvette,,
Yvonne,,
Zeger,,
